id,code,name,type,parent_id:id,reconcile,user_type:id
ni_puc_62060101,62060101,Combustibles Moto 1,other,ni_puc_620601,FALSE,account.data_account_type_expense
ni_puc_62060102,62060102,Lubricantes Moto 2,other,ni_puc_620601,FALSE,account.data_account_type_expense
ni_puc_62060103,62060103,Mantenimientos Moto 2,other,ni_puc_620601,FALSE,account.data_account_type_expense
ni_puc_7,7,OTROS INGRESOS,view,ni_puc_root,FALSE,account.data_account_type_income
ni_puc_71,71,PRODUCTOS FINANCIEROS,view,ni_puc_7,FALSE,account.data_account_type_income
ni_puc_7101,7101,INTERESES DEVENGADOS S/CTA MONETARIA,view,ni_puc_71,FALSE,account.data_account_type_income
ni_puc_7102,7102,OTROS INGRESOS,view,ni_puc_71,FALSE,account.data_account_type_income
ni_puc_72,72,GANANCIA Y/O PÉRDIDA CAMBIARIA,view,ni_puc_7,FALSE,account.data_account_type_income
ni_puc_7201,7201,DIFERENCIAL CAMBIARIO,view,ni_puc_72,FALSE,account.data_account_type_income
ni_puc_7202,7202,DIFERENCIAL CAMBIARIO POR REEX,view,ni_puc_72,FALSE,account.data_account_type_income
ni_puc_73,73,VENTA DE ACTIVO FIJO,view,ni_puc_7,FALSE,account.data_account_type_income
ni_puc_7301,7301,UTILIDAD O PERDIDA POR VENTA DE ACTIVOS FIJOS,view,ni_puc_73,FALSE,account.data_account_type_income
ni_puc_8,8,GASTOS FINANCIEROS,view,ni_puc_root,FALSE,account.data_account_type_expense
ni_puc_81,81,GASTOS BANCARIOS,view,ni_puc_8,FALSE,account.data_account_type_expense
ni_puc_8101,8101,INTERESES POR PRÉSTAMOS BANCARIOS,view,ni_puc_81,FALSE,account.data_account_type_expense
ni_puc_8102,8102,COMISIONES BANCARIAS,view,ni_puc_81,FALSE,account.data_account_type_expense
ni_puc_8103,8103,IMPUESTOS A LA OPERACIONES BANCARIAS,view,ni_puc_81,FALSE,account.data_account_type_expense
ni_puc_8104,8104,INTERESES POR SOBREGIROS,view,ni_puc_81,FALSE,account.data_account_type_expense
